id,user_id,start_time,end_time,duration_seconds,created_at
1,a5061dce-7663-482e-9ab1-d6ef078de9b7,2025-03-17 04:52:45.087+00,2025-03-17 04:52:54.651+00,9,2025-03-17 04:52:45.24489+00
2,a5061dce-7663-482e-9ab1-d6ef078de9b7,2025-03-17 04:53:05.4+00,2025-03-17 04:53:12.634+00,7,2025-03-17 04:53:05.545829+00
3,88ca30a6-5a93-44c2-94d6-579dc393405e,2025-03-20 15:00:45.999+00,2025-03-20 15:00:48.295+00,2,2025-03-20 15:00:46.229824+00
4,4ce04130-d2b9-4003-9ee7-0f2d3e6c204c,2025-03-20 16:08:28.593+00,2025-03-20 16:08:30.145+00,1,2025-03-20 16:08:28.920654+00
5,951c9381-888c-414e-b0ac-30adc191d02c,2025-03-25 20:33:35.885+00,2025-03-25 20:33:38.139+00,2,2025-03-25 20:33:35.375978+00
6,951c9381-888c-414e-b0ac-30adc191d02c,2025-03-25 20:33:57.35+00,2025-03-25 20:34:09.966+00,12,2025-03-25 20:33:56.801221+00
7,951c9381-888c-414e-b0ac-30adc191d02c,2025-03-25 20:34:11.087+00,2025-03-25 20:34:30.79+00,19,2025-03-25 20:34:10.547899+00
8,4ce04130-d2b9-4003-9ee7-0f2d3e6c204c,2025-04-23 19:17:37.121+00,2025-04-23 19:17:38.605+00,1,2025-04-23 19:17:37.370386+00
9,4ce04130-d2b9-4003-9ee7-0f2d3e6c204c,2025-04-24 03:16:13.31+00,2025-04-24 03:16:15.74+00,2,2025-04-24 03:16:13.568008+00
10,4ce04130-d2b9-4003-9ee7-0f2d3e6c204c,2025-04-24 04:00:39.959+00,2025-04-24 04:00:59.937+00,19,2025-04-24 04:00:40.192201+00